State,Confirmed,Recovered,Deaths,Active,Last_Updated_Time,State_code,Delta_Confirmed,Delta_Recovered,Delta_Deaths,State_Notes
Total,27982,6523,884,20575,26/04/2020 19:37:37,TT,92,0,3,
Maharashtra,8068,1188,342,6538,26/04/2020 19:37:37,MH,0,0,0,
Gujarat,3301,313,151,2837,25/04/2020 20:42:38,GJ,0,0,0,
Delhi,2918,877,54,1987,25/04/2020 21:52:38,DL,0,0,0,
Rajasthan,2221,629,44,1548,26/04/2020 15:42:38,RJ,36,0,3,
Madhya Pradesh,2090,302,103,1685,26/04/2020 18:32:38,MP,0,0,0,
Tamil Nadu,1885,1020,24,841,26/04/2020 18:12:38,TN,0,0,0,
Uttar Pradesh,1873,327,30,1516,26/04/2020 16:27:37,UP,0,0,0,
Andhra Pradesh,1097,231,31,835,26/04/2020 11:57:37,AP,0,0,0,
Telangana,1001,316,25,660,25/04/2020 20:57:37,TG,0,0,0,
West Bengal,649,105,20,524,26/04/2020 09:47:38,WB,38,0,0,WB totals and district numbers are currently updated according to https://www.mohfw.gov.in
Jammu and Kashmir,523,137,6,380,26/04/2020 17:52:37,JK,0,0,0,
Karnataka,503,182,19,302,26/04/2020 19:22:38,KA,0,0,0,
Kerala,469,342,4,123,26/04/2020 17:57:38,KL,0,0,0,Mahe native who expired in Kannur included in Kerala's tally
Punjab,322,84,18,220,26/04/2020 18:42:41,PB,0,0,0,
Haryana,296,199,3,94,25/04/2020 19:42:38,HR,0,0,0,One death in Ambala included
Bihar,290,56,2,232,26/04/2020 18:42:43,BR,13,0,0,
Odisha,108,35,1,72,25/04/2020 23:22:41,OR,5,0,0,
Jharkhand,82,13,3,66,26/04/2020 12:37:39,JH,0,0,0,
Uttarakhand,51,26,0,25,26/04/2020 13:17:38,UT,0,0,0,
Himachal Pradesh,40,22,2,16,26/04/2020 10:47:39,HP,0,0,0,Death of Tibetan refugee included
Chhattisgarh,37,32,0,5,25/04/2020 09:37:38,CT,0,0,0,
Assam,36,27,1,8,26/04/2020 17:32:41,AS,0,0,0,Includes one case from Nagaland
Chandigarh,36,17,0,19,26/04/2020 18:52:38,CH,0,0,0,
Andaman and Nicobar Islands,33,11,0,22,25/04/2020 20:02:39,AN,0,0,0,
Ladakh,20,16,0,4,25/04/2020 17:32:38,LA,0,0,0,
Meghalaya,12,0,1,11,18/04/2020 12:38:07,ML,0,0,0,
Puducherry,8,4,0,4,25/04/2020 17:42:40,PY,0,0,0,
Goa,7,7,0,0,19/04/2020 17:04:07,GA,0,0,0,
Manipur,2,2,0,0,20/04/2020 10:04:08,MN,0,0,0,
Tripura,2,2,0,0,23/04/2020 20:47:41,TR,0,0,0,
Mizoram,1,0,0,1,26/03/2020 07:19:29,MZ,0,0,0,
Arunachal Pradesh,1,1,0,0,16/04/2020 19:33:11,AR,0,0,0,
Nagaland,0,0,0,0,20/04/2020 08:45:07,NL,0,0,0,
Dadra and Nagar Haveli,0,0,0,0,17/04/2020 15:03:07,DN,0,0,0,
Daman and Diu,0,0,0,0,26/03/2020 07:19:29,DD,0,0,0,
Lakshadweep,0,0,0,0,26/03/2020 07:19:29,LD,0,0,0,
Sikkim,0,0,0,0,26/03/2020 07:19:29,SK,0,0,0,
