State,Confirmed,Recovered,Deaths,Active,Last_Updated_Time,State_code,Delta_Confirmed,Delta_Recovered,Delta_Deaths,State_Notes
Total,18032,2969,570,14493,20/04/2020 18:37:38,TT,728,115,11,
Maharashtra,4483,507,223,3753,19/04/2020 21:03:06,MH,283,0,0,
Delhi,2003,290,45,1668,19/04/2020 23:18:08,DL,0,0,0,
Gujarat,1851,106,67,1678,19/04/2020 20:25:15,GJ,108,1,4,
Rajasthan,1535,205,25,1305,20/04/2020 10:04:06,RJ,57,0,2,
Tamil Nadu,1520,457,17,1046,20/04/2020 18:12:27,TN,43,46,2,
Madhya Pradesh,1485,131,72,1282,20/04/2020 18:12:27,MP,78,0,0,
Uttar Pradesh,1100,127,17,956,20/04/2020 01:09:12,UP,0,0,0,
Telangana,858,186,21,651,19/04/2020 21:23:08,TG,0,0,0,
Andhra Pradesh,722,92,20,610,19/04/2020 15:35:05,AP,75,27,3,
Karnataka,408,112,16,280,20/04/2020 18:12:41,KA,18,1,0,
Kerala,407,291,2,114,20/04/2020 18:07:32,KL,6,21,0,
Jammu and Kashmir,368,56,5,307,20/04/2020 18:07:33,JK,14,0,0,
West Bengal,339,66,12,261,20/04/2020 09:25:14,WB,29,4,0,"As WB state bulletin only reports the number of active cases, the numbers for WB are currently updated according to https://www.mohfw.gov.in"
Haryana,251,115,3,133,19/04/2020 19:39:06,HR,1,11,0,1 death in Ambala unaccounted.
Punjab,245,38,16,191,19/04/2020 20:39:06,PB,1,1,0,
Bihar,96,42,2,52,20/04/2020 01:09:14,BR,0,0,0,
Odisha,74,24,1,49,20/04/2020 18:07:33,OR,13,0,0,
Uttarakhand,44,11,0,33,18/04/2020 15:26:17,UT,0,0,0,
Jharkhand,42,0,2,40,19/04/2020 21:23:09,JH,1,0,0,
Himachal Pradesh,39,16,2,21,18/04/2020 19:15:06,HP,0,0,0,Death of Tibetan refugee included
Chhattisgarh,36,25,0,11,18/04/2020 19:36:06,CT,0,0,0,
Assam,35,19,1,15,20/04/2020 08:45:06,AS,0,2,0,Includes one case from Nagaland
Chandigarh,26,13,0,13,19/04/2020 17:45:25,CH,0,0,0,
Ladakh,18,14,0,4,16/04/2020 15:13:07,LA,0,0,0,
Andaman and Nicobar Islands,16,11,0,5,20/04/2020 18:07:34,AN,1,0,0,
Meghalaya,11,0,1,10,18/04/2020 12:38:07,ML,0,0,0,
Goa,7,7,0,0,19/04/2020 17:04:07,GA,0,0,0,
Puducherry,7,4,0,3,19/04/2020 08:25:07,PY,0,0,0,
Manipur,2,2,0,0,20/04/2020 10:04:08,MN,0,1,0,
Tripura,2,1,0,1,10/04/2020 20:00:27,TR,0,0,0,
Mizoram,1,0,0,1,26/03/2020 07:19:29,MZ,0,0,0,
Arunachal Pradesh,1,1,0,0,16/04/2020 19:33:11,AR,0,0,0,
Nagaland,0,0,0,0,20/04/2020 08:45:07,NL,0,0,0,
Dadra and Nagar Haveli,0,0,0,0,17/04/2020 15:03:07,DN,0,0,0,
Daman and Diu,0,0,0,0,26/03/2020 07:19:29,DD,0,0,0,
Lakshadweep,0,0,0,0,26/03/2020 07:19:29,LD,0,0,0,
Sikkim,0,0,0,0,26/03/2020 07:19:29,SK,0,0,0,
