State,Confirmed,Recovered,Deaths,Active,Last_Updated_Time,State_code,Delta_Confirmed,Delta_Recovered,Delta_Deaths,State_Notes
Total,21472,4382,682,16408,23/04/2020 12:57:37,TT,100,12,1,
Maharashtra,5649,789,269,4591,22/04/2020 20:17:37,MH,0,0,0,
Delhi,2248,724,48,1476,22/04/2020 20:47:38,DL,0,0,0,
Gujarat,2407,179,103,2125,22/04/2020 20:32:37,GJ,0,0,0,
Rajasthan,1935,344,27,1564,22/04/2020 22:27:37,RJ,47,0,0,
Tamil Nadu,1629,662,18,949,22/04/2020 18:17:40,TN,0,0,0,
Madhya Pradesh,1587,152,80,1355,21/04/2020 17:57:38,MP,0,0,0,
Uttar Pradesh,1449,173,21,1255,22/04/2020 20:57:38,UP,0,0,0,
Telangana,943,194,24,725,21/04/2020 20:17:41,TG,0,0,0,
Andhra Pradesh,813,120,24,669,22/04/2020 12:22:37,AP,0,0,0,
Karnataka,443,131,17,295,23/04/2020 12:57:38,KA,16,0,0,
Kerala,437,308,2,127,22/04/2020 18:07:37,KL,0,0,0,
Jammu and Kashmir,407,92,5,310,22/04/2020 16:57:38,JK,0,0,0,
West Bengal,456,79,15,362,22/04/2020 09:42:38,WB,33,6,0,WB totals and district numbers are currently updated according to https://www.mohfw.gov.in
Haryana,264,158,3,103,22/04/2020 19:07:38,HR,0,0,0,One death in Ambala included.
Punjab,278,53,16,209,22/04/2020 20:47:39,PB,0,0,0,
Bihar,143,42,2,99,23/04/2020 10:32:38,BR,0,0,0,
Odisha,83,32,1,50,22/04/2020 15:57:38,OR,0,0,0,
Uttarakhand,46,23,0,23,22/04/2020 20:07:38,UT,0,0,0,
Jharkhand,49,8,3,38,23/04/2020 10:47:38,JH,3,4,1,
Himachal Pradesh,39,16,2,21,18/04/2020 19:15:06,HP,0,0,0,Death of Tibetan refugee included
Chhattisgarh,36,28,0,8,23/04/2020 10:37:39,CT,0,0,0,
Assam,36,19,1,16,20/04/2020 08:45:06,AS,1,0,0,Includes one case from Nagaland
Chandigarh,27,14,0,13,19/04/2020 17:45:25,CH,0,0,0,
Ladakh,18,16,0,2,23/04/2020 10:32:40,LA,0,2,0,
Andaman and Nicobar Islands,18,11,0,7,20/04/2020 18:07:34,AN,0,0,0,
Meghalaya,12,0,1,11,18/04/2020 12:38:07,ML,0,0,0,
Goa,7,7,0,0,19/04/2020 17:04:07,GA,0,0,0,
Puducherry,7,4,0,3,19/04/2020 08:25:07,PY,0,0,0,
Manipur,2,2,0,0,20/04/2020 10:04:08,MN,0,0,0,
Tripura,2,1,0,1,10/04/2020 20:00:27,TR,0,0,0,
Mizoram,1,0,0,1,26/03/2020 07:19:29,MZ,0,0,0,
Arunachal Pradesh,1,1,0,0,16/04/2020 19:33:11,AR,0,0,0,
Nagaland,0,0,0,0,20/04/2020 08:45:07,NL,0,0,0,
Dadra and Nagar Haveli,0,0,0,0,17/04/2020 15:03:07,DN,0,0,0,
Daman and Diu,0,0,0,0,26/03/2020 07:19:29,DD,0,0,0,
Lakshadweep,0,0,0,0,26/03/2020 07:19:29,LD,0,0,0,
Sikkim,0,0,0,0,26/03/2020 07:19:29,SK,0,0,0,
