State,Confirmed,Recovered,Deaths,Active,Last_Updated_Time,State_code,Delta_Confirmed,Delta_Recovered,Delta_Deaths,State_Notes
Total,29727,7207,941,21579,28/04/2020 17:51:55,TT,269,70,2,
Maharashtra,8590,1282,369,6939,28/04/2020 11:32:55,MH,0,0,0,
Gujarat,3548,394,162,2992,27/04/2020 20:51:55,GJ,0,0,0,
Delhi,3108,877,54,2177,27/04/2020 22:21:59,DL,0,0,0,
Rajasthan,2335,744,51,1540,28/04/2020 14:32:56,RJ,73,0,1,
Madhya Pradesh,2165,357,110,1698,27/04/2020 21:21:56,MP,0,0,0,
Tamil Nadu,1937,1101,24,812,27/04/2020 18:21:56,TN,0,0,0,
Uttar Pradesh,1986,399,31,1556,27/04/2020 21:21:57,UP,0,0,0,
Andhra Pradesh,1259,258,31,970,28/04/2020 11:51:56,AP,82,23,0,
Telangana,1003,332,25,646,27/04/2020 20:32:58,TG,0,0,0,
West Bengal,697,109,20,568,28/04/2020 09:32:56,WB,48,4,0,WB totals and district numbers are currently updated according to https://www.mohfw.gov.in
Jammu and Kashmir,565,176,8,381,28/04/2020 17:51:56,JK,19,12,1,
Karnataka,523,207,20,296,28/04/2020 17:22:56,KA,11,14,0,
Kerala,486,359,4,123,28/04/2020 17:30:38,KL,4,4,0,Mahe native who expired in Kannur included in Kerala's tally
Punjab,330,98,19,213,27/04/2020 22:02:20,PB,0,0,0,
Haryana,304,218,3,83,28/04/2020 14:02:56,HR,3,5,0,
Bihar,360,57,2,301,28/04/2020 17:31:57,BR,14,1,0,
Odisha,118,38,1,79,28/04/2020 17:31:58,OR,0,1,0,
Jharkhand,104,17,3,84,28/04/2020 15:11:57,JH,1,0,0,
Uttarakhand,51,33,0,18,27/04/2020 18:21:57,UT,0,0,0,
Himachal Pradesh,40,25,2,13,28/04/2020 01:11:56,HP,0,0,0,Death of Tibetan refugee included
Chhattisgarh,37,34,0,3,28/04/2020 12:41:57,CT,0,2,0,
Assam,37,27,1,9,28/04/2020 12:41:57,AS,1,0,0,Includes one case from Nagaland
Chandigarh,56,17,0,39,28/04/2020 17:31:59,CH,11,0,0,
Andaman and Nicobar Islands,33,15,0,18,28/04/2020 11:32:57,AN,0,4,0,
Ladakh,22,16,0,6,28/04/2020 16:11:56,LA,2,0,0,
Meghalaya,12,0,1,11,18/04/2020 12:38:07,ML,0,0,0,
Puducherry,8,5,0,3,27/04/2020 23:21:56,PY,0,0,0,
Goa,7,7,0,0,19/04/2020 17:04:07,GA,0,0,0,
Manipur,2,2,0,0,20/04/2020 10:04:08,MN,0,0,0,
Tripura,2,2,0,0,23/04/2020 20:47:41,TR,0,0,0,
Mizoram,1,0,0,1,26/03/2020 07:19:29,MZ,0,0,0,
Arunachal Pradesh,1,1,0,0,16/04/2020 19:33:11,AR,0,0,0,
Nagaland,0,0,0,0,20/04/2020 08:45:07,NL,0,0,0,
Dadra and Nagar Haveli,0,0,0,0,17/04/2020 15:03:07,DN,0,0,0,
Daman and Diu,0,0,0,0,26/03/2020 07:19:29,DD,0,0,0,
Lakshadweep,0,0,0,0,26/03/2020 07:19:29,LD,0,0,0,
Sikkim,0,0,0,0,26/03/2020 07:19:29,SK,0,0,0,
